pair,year,a,b,c,d,label
ICHTHAMMOL\ZINC OXIDE|NAUSEA,2024,4,116,3683,448435,0
ICHTHAMMOL\ZINC OXIDE|NAUSEA,2025,0,0,15023,1544106,0
ICHTHAMMOL\ZINC OXIDE|ORAL CANDIDIASIS,2024,4,116,131,451987,0
ICHTHAMMOL\ZINC OXIDE|ORAL CANDIDIASIS,2025,0,0,464,1558665,0
ICHTHAMMOL\ZINC OXIDE|PAIN,2024,4,116,3702,448416,0
ICHTHAMMOL\ZINC OXIDE|PAIN,2025,0,0,13934,1545195,0
ICHTHAMMOL\ZINC OXIDE|PARAESTHESIA ORAL,2024,4,116,143,451975,0
ICHTHAMMOL\ZINC OXIDE|PARAESTHESIA ORAL,2025,0,0,211,1558918,0
ICHTHAMMOL\ZINC OXIDE|PROCEDURAL PAIN,2024,4,116,213,451905,0
ICHTHAMMOL\ZINC OXIDE|PROCEDURAL PAIN,2025,0,0,303,1558826,0
ICHTHAMMOL\ZINC OXIDE|PROCTITIS,2024,4,116,129,451989,0
ICHTHAMMOL\ZINC OXIDE|PROCTITIS,2025,0,0,78,1559051,0
ICHTHAMMOL\ZINC OXIDE|PYREXIA,2024,4,116,3173,448945,0
ICHTHAMMOL\ZINC OXIDE|PYREXIA,2025,0,0,9293,1549836,0
ICHTHAMMOL\ZINC OXIDE|RADICULOPATHY,2024,4,116,128,451990,0
ICHTHAMMOL\ZINC OXIDE|RADICULOPATHY,2025,0,0,83,1559046,0
ICHTHAMMOL\ZINC OXIDE|RECTAL HAEMORRHAGE,2024,4,116,559,451559,0
ICHTHAMMOL\ZINC OXIDE|RECTAL HAEMORRHAGE,2025,0,0,1156,1557973,0
ICHTHAMMOL\ZINC OXIDE|THERAPEUTIC PRODUCT EFFECT INCOMPLETE,2024,4,116,3653,448465,0
ICHTHAMMOL\ZINC OXIDE|THERAPEUTIC PRODUCT EFFECT INCOMPLETE,2025,0,0,3447,1555682,0
ICHTHAMMOL\ZINC OXIDE|VAGINAL DISCHARGE,2024,4,116,129,451989,0
ICHTHAMMOL\ZINC OXIDE|VAGINAL DISCHARGE,2025,0,0,126,1559003,0
ICHTHAMMOL\ZINC OXIDE|VAGINAL FLATULENCE,2024,4,116,128,451990,0
ICHTHAMMOL\ZINC OXIDE|VAGINAL FLATULENCE,2025,0,0,69,1559060,0
ICHTHAMMOL\ZINC OXIDE|WEIGHT DECREASED,2024,4,116,2385,449733,0
ICHTHAMMOL\ZINC OXIDE|WEIGHT DECREASED,2025,0,0,4881,1554248,0
IDELVION|CEREBRAL HAEMORRHAGE,2024,224,172,64,451778,0
IDELVION|CEREBRAL HAEMORRHAGE,2025,0,288,332,1558509,0
IDELVION|DIZZINESS,2024,96,300,2261,449581,0
IDELVION|DIZZINESS,2025,0,288,9343,1549498,0
IDELVION|FATIGUE,2024,32,364,4273,447569,0
IDELVION|FATIGUE,2025,0,288,15631,1543210,0
IDELVION|HAEMARTHROSIS,2024,4,392,26,451816,1
IDELVION|HAEMARTHROSIS,2025,20,268,61,1558780,1
IDELVION|HAEMORRHAGE,2024,4,392,273,451569,1
IDELVION|HAEMORRHAGE,2025,44,244,778,1558063,1
IDELVION|PRODUCT DISTRIBUTION ISSUE,2024,4,392,159,451683,0
IDELVION|PRODUCT DISTRIBUTION ISSUE,2025,0,288,310,1558531,0
IDELVION|VISION BLURRED,2024,32,364,154,451688,0
IDELVION|VISION BLURRED,2025,0,288,1123,1557718,0
IFOSFAMIDE|ACUTE KIDNEY INJURY,2024,3,33,222,451980,1
IFOSFAMIDE|ACUTE KIDNEY INJURY,2025,3,119,2966,1556041,1
IFOSFAMIDE|ACUTE RESPIRATORY DISTRESS SYNDROME,2024,3,33,42,452160,1
IFOSFAMIDE|ACUTE RESPIRATORY DISTRESS SYNDROME,2025,3,119,465,1558542,1
IFOSFAMIDE|ALANINE AMINOTRANSFERASE INCREASED,2024,3,33,103,452099,1
IFOSFAMIDE|ALANINE AMINOTRANSFERASE INCREASED,2025,3,119,680,1558327,1
IFOSFAMIDE|COLITIS,2024,3,33,230,451972,1
IFOSFAMIDE|COLITIS,2025,3,119,756,1558251,1
IFOSFAMIDE|DYSPNOEA,2024,3,33,2667,449535,0
IFOSFAMIDE|DYSPNOEA,2025,3,119,12951,1546056,0
IFOSFAMIDE|MOBILITY DECREASED,2024,3,33,2132,450070,1
IFOSFAMIDE|MOBILITY DECREASED,2025,3,119,7290,1551717,1
ILUVIEN|CIRCUMSTANCE OR INFORMATION CAPABLE OF LEADING TO MEDICATION ERROR,2024,7,18,71,452142,0
ILUVIEN|CIRCUMSTANCE OR INFORMATION CAPABLE OF LEADING TO MEDICATION ERROR,2025,0,16,139,1558974,0
ILUVIEN|NEEDLE ISSUE,2024,5,20,58,452155,0
ILUVIEN|NEEDLE ISSUE,2025,0,16,306,1558807,0
ILUVIEN|PATIENT UNCOOPERATIVE,2024,4,21,0,452213,0
ILUVIEN|PATIENT UNCOOPERATIVE,2025,0,16,27,1559086,0
IMATINIB|ABDOMINAL PAIN UPPER,2024,4,197,1456,450581,0
IMATINIB|ABDOMINAL PAIN UPPER,2025,0,261,5802,1553066,0
IMATINIB|ADENOVIRUS REACTIVATION,2024,6,195,75,451962,0
IMATINIB|ADENOVIRUS REACTIVATION,2025,0,261,0,1558868,0
IMATINIB|BK POLYOMAVIRUS TEST POSITIVE,2024,6,195,75,451962,0
IMATINIB|BK POLYOMAVIRUS TEST POSITIVE,2025,0,261,0,1558868,0
IMATINIB|BK VIRUS INFECTION,2024,6,195,105,451932,0
IMATINIB|BK VIRUS INFECTION,2025,0,261,112,1558756,0
IMATINIB|BLOOD PRESSURE DECREASED,2024,4,197,207,451830,0
IMATINIB|BLOOD PRESSURE DECREASED,2025,0,261,868,1558000,0
IMATINIB|BRAIN ABSCESS,2024,6,195,75,451962,0
IMATINIB|BRAIN ABSCESS,2025,0,261,6,1558862,0
IMATINIB|CEREBRAL TOXOPLASMOSIS,2024,6,195,87,451950,0
IMATINIB|CEREBRAL TOXOPLASMOSIS,2025,0,261,0,1558868,0
IMATINIB|CYSTITIS HAEMORRHAGIC,2024,6,195,125,451912,0
IMATINIB|CYSTITIS HAEMORRHAGIC,2025,0,261,20,1558848,0
IMATINIB|CYTOMEGALOVIRUS INFECTION REACTIVATION,2024,6,195,126,451911,0
IMATINIB|CYTOMEGALOVIRUS INFECTION REACTIVATION,2025,0,261,130,1558738,0
IMATINIB|DYSPHONIA,2024,4,197,310,451727,0
IMATINIB|DYSPHONIA,2025,0,261,1364,1557504,0
IMATINIB|EPSTEIN-BARR VIRUS INFECTION REACTIVATION,2024,6,195,75,451962,0
IMATINIB|EPSTEIN-BARR VIRUS INFECTION REACTIVATION,2025,0,261,39,1558829,0
IMATINIB|FEBRILE NEUTROPENIA,2024,6,195,127,451910,0
IMATINIB|FEBRILE NEUTROPENIA,2025,0,261,1482,1557386,0
IMATINIB|GASTROINTESTINAL VIRAL INFECTION,2024,6,195,75,451962,0
IMATINIB|GASTROINTESTINAL VIRAL INFECTION,2025,0,261,15,1558853,0
IMATINIB|HEADACHE,2024,7,194,3546,448491,0
IMATINIB|HEADACHE,2025,0,261,13555,1545313,0
IMATINIB|HERPES SIMPLEX REACTIVATION,2024,6,195,75,451962,0
IMATINIB|HERPES SIMPLEX REACTIVATION,2025,0,261,0,1558868,0
IMATINIB|HERPES SIMPLEX TEST POSITIVE,2024,6,195,82,451955,0
IMATINIB|HERPES SIMPLEX TEST POSITIVE,2025,0,261,0,1558868,0
IMATINIB|INFECTION REACTIVATION,2024,6,195,75,451962,0
IMATINIB|INFECTION REACTIVATION,2025,0,261,0,1558868,0
IMATINIB|INFLUENZA,2024,4,197,552,451485,0
IMATINIB|INFLUENZA,2025,0,261,1988,1556880,0
IMATINIB|INTERVERTEBRAL DISC DISORDER,2024,4,197,10,452027,0
IMATINIB|INTERVERTEBRAL DISC DISORDER,2025,0,261,22,1558846,0
IMATINIB|MYALGIA,2024,4,197,320,451717,1
IMATINIB|MYALGIA,2025,9,252,2010,1556858,1
IMATINIB|NAUSEA,2024,6,195,3681,448356,1
IMATINIB|NAUSEA,2025,8,253,15015,1543853,1
IMATINIB|NEUROLOGICAL SYMPTOM,2024,6,195,86,451951,0
IMATINIB|NEUROLOGICAL SYMPTOM,2025,0,261,607,1558261,0
IMATINIB|OFF LABEL USE,2024,14,187,6553,445484,0
IMATINIB|OFF LABEL USE,2025,0,261,27944,1530924,0
IMATINIB|ORAL HERPES,2024,6,195,225,451812,0
IMATINIB|ORAL HERPES,2025,0,261,268,1558600,0
IMATINIB|PYREXIA,2024,6,195,3171,448866,0
IMATINIB|PYREXIA,2025,0,261,9293,1549575,0
IMATINIB|SEIZURE,2024,6,195,328,451709,0
IMATINIB|SEIZURE,2025,0,261,1285,1557583,0
IMATINIB|STAPHYLOCOCCAL BACTERAEMIA,2024,6,195,124,451913,0
IMATINIB|STAPHYLOCOCCAL BACTERAEMIA,2025,0,261,196,1558672,0
IMATINIB|THYROID DISORDER,2024,4,197,9,452028,0
IMATINIB|THYROID DISORDER,2025,0,261,220,1558648,0
IMATINIB|THYROID NEOPLASM,2024,4,197,3,452034,0
IMATINIB|THYROID NEOPLASM,2025,0,261,0,1558868,0
IMATINIB|VIRAL HAEMORRHAGIC CYSTITIS,2024,6,195,90,451947,0
IMATINIB|VIRAL HAEMORRHAGIC CYSTITIS,2025,0,261,26,1558842,0
IMITREX|DRUG HYPERSENSITIVITY,2024,3,110,1549,450576,0
IMITREX|DRUG HYPERSENSITIVITY,2025,0,64,8587,1550478,0
IMITREX|DYSPNOEA,2024,4,109,2666,449459,0
IMITREX|DYSPNOEA,2025,1,63,12953,1546112,0
IMITREX|INTENTIONAL PRODUCT USE ISSUE,2024,4,109,3087,449038,0
IMITREX|INTENTIONAL PRODUCT USE ISSUE,2025,0,64,8072,1550993,0
IMITREX|PARAESTHESIA,2024,3,110,1759,450366,0
IMITREX|PARAESTHESIA,2025,0,64,3785,1555280,0
IMITREX|PRODUCT ADMINISTRATION INTERRUPTED,2024,3,110,87,452038,0
IMITREX|PRODUCT ADMINISTRATION INTERRUPTED,2025,0,64,103,1558962,0
IMITREX|WEIGHT INCREASED,2024,3,110,3434,448691,0
IMITREX|WEIGHT INCREASED,2025,1,63,8245,1550820,0
IMODIUM|APHONIA,2024,3,81,118,452036,0
IMODIUM|APHONIA,2025,0,175,112,1558842,0
IMODIUM|DIARRHOEA,2024,3,81,3042,449112,1
IMODIUM|DIARRHOEA,2025,8,167,13290,1545664,1
IMODIUM|WEIGHT INCREASED,2024,3,81,3434,448720,0
IMODIUM|WEIGHT INCREASED,2025,1,174,8245,1550709,0
IMURAN|ARTHRALGIA,2024,3,127,2610,449498,0
IMURAN|ARTHRALGIA,2025,8,909,8871,1549341,0
IMURAN|BONE TUBERCULOSIS,2024,3,127,19,452089,0
IMURAN|BONE TUBERCULOSIS,2025,0,917,0,1558212,0
IMURAN|CONDITION AGGRAVATED,2024,3,127,2661,449447,1
IMURAN|CONDITION AGGRAVATED,2025,20,897,12836,1545376,1
IMURAN|CONGENITAL ANOMALY,2024,3,127,264,451844,1
IMURAN|CONGENITAL ANOMALY,2025,7,910,1578,1556634,1
IMURAN|FISTULA,2024,3,127,39,452069,0
IMURAN|FISTULA,2025,2,915,205,1558007,0
IMURAN|FOETAL EXPOSURE DURING PREGNANCY,2024,3,127,284,451824,1
IMURAN|FOETAL EXPOSURE DURING PREGNANCY,2025,4,913,1252,1556960,1
IMURAN|INFECTION SUSCEPTIBILITY INCREASED,2024,3,127,20,452088,0
IMURAN|INFECTION SUSCEPTIBILITY INCREASED,2025,0,917,2,1558210,0
IMURAN|INTENTIONAL PRODUCT USE ISSUE,2024,4,126,3087,449021,0
IMURAN|INTENTIONAL PRODUCT USE ISSUE,2025,5,912,8067,1550145,0
IMURAN|MATERNAL EXPOSURE DURING PREGNANCY,2024,3,127,1376,450732,0
IMURAN|MATERNAL EXPOSURE DURING PREGNANCY,2025,9,908,7678,1550534,0
IMURAN|OPTIC NEURITIS,2024,3,127,21,452087,0
IMURAN|OPTIC NEURITIS,2025,0,917,72,1558140,0
IMURAN|OVERDOSE,2024,3,127,879,451229,0
IMURAN|OVERDOSE,2025,5,912,3826,1554386,0
IMURAN|POLYNEUROPATHY,2024,3,127,40,452068,0
IMURAN|POLYNEUROPATHY,2025,0,917,115,1558097,0
IMURAN|PRODUCTIVE COUGH,2024,3,127,450,451658,0
IMURAN|PRODUCTIVE COUGH,2025,2,915,1838,1556374,0
IMURAN|PULMONARY TUBERCULOSIS,2024,3,127,19,452089,0
IMURAN|PULMONARY TUBERCULOSIS,2025,0,917,16,1558196,0
IMURAN|PYREXIA,2024,3,127,3174,448934,0
IMURAN|PYREXIA,2025,0,917,9293,1548919,0
IMURAN|SACROILIITIS,2024,3,127,19,452089,0
IMURAN|SACROILIITIS,2025,0,917,9,1558203,0
IMURAN|SUPERINFECTION,2024,3,127,19,452089,0
IMURAN|SUPERINFECTION,2025,0,917,0,1558212,0
IMURAN|TUBERCULOSIS,2024,6,124,38,452070,0
IMURAN|TUBERCULOSIS,2025,0,917,163,1558049,0
INDAPAMIDE|ARTHRALGIA,2024,5,186,2608,449439,1
INDAPAMIDE|ARTHRALGIA,2025,4,228,8875,1550022,1
INDAPAMIDE|DIARRHOEA,2024,4,187,3041,449006,0
INDAPAMIDE|DIARRHOEA,2025,3,229,13295,1545602,0
INDAPAMIDE|URTICARIA,2024,4,187,2813,449234,0
INDAPAMIDE|URTICARIA,2025,1,231,6006,1552891,0
INDOMETHACIN|CELLULITIS STAPHYLOCOCCAL,2024,4,282,65,451887,0
INDOMETHACIN|CELLULITIS STAPHYLOCOCCAL,2025,0,360,0,1558769,0
INDOMETHACIN|GRAFT VERSUS HOST DISEASE IN GASTROINTESTINAL TRACT,2024,4,282,66,451886,0
INDOMETHACIN|GRAFT VERSUS HOST DISEASE IN GASTROINTESTINAL TRACT,2025,0,360,95,1558674,0
INDOMETHACIN|ILL-DEFINED DISORDER,2024,4,282,1996,449956,0
INDOMETHACIN|ILL-DEFINED DISORDER,2025,1,359,4084,1554685,0
INDOMETHACIN|INFLAMMATION,2024,4,282,2172,449780,0
INDOMETHACIN|INFLAMMATION,2025,1,359,4488,1554281,0
INDOMETHACIN|LUNG DISORDER,2024,3,283,1329,450623,0
INDOMETHACIN|LUNG DISORDER,2025,1,359,4903,1553866,0
INFLECTRA|ABDOMINAL DISCOMFORT,2024,50,4062,1831,446295,0
INFLECTRA|ABDOMINAL DISCOMFORT,2025,7,2741,7956,1548425,0
INFLECTRA|ABDOMINAL SYMPTOM,2024,13,4099,3,448123,0
INFLECTRA|ABDOMINAL SYMPTOM,2025,0,2748,0,1556381,0
INFLECTRA|ABSCESS,2024,13,4099,31,448095,1
INFLECTRA|ABSCESS,2025,7,2741,254,1556127,1
INFLECTRA|ANAL FISSURE,2024,13,4099,32,448094,0
INFLECTRA|ANAL FISSURE,2025,0,2748,126,1556255,0
INFLECTRA|ANKYLOSING SPONDYLITIS,2024,10,4102,43,448083,0
INFLECTRA|ANKYLOSING SPONDYLITIS,2025,0,2748,108,1556273,0
INFLECTRA|APHTHOUS ULCER,2024,13,4099,110,448016,0
INFLECTRA|APHTHOUS ULCER,2025,0,2748,100,1556281,0
INFLECTRA|ARTHRALGIA,2024,122,3990,2491,445635,0
INFLECTRA|ARTHRALGIA,2025,29,2719,8850,1547531,0
INFLECTRA|AXILLARY MASS,2024,46,4066,53,448073,0
INFLECTRA|AXILLARY MASS,2025,0,2748,12,1556369,0
INFLECTRA|BACTERIAL VAGINOSIS,2024,24,4088,89,448037,0
INFLECTRA|BACTERIAL VAGINOSIS,2025,0,2748,51,1556330,0
INFLECTRA|BALANCE DISORDER,2024,11,4101,215,447911,0
INFLECTRA|BALANCE DISORDER,2025,5,2743,1668,1554713,0
INFLECTRA|BASAL CELL CARCINOMA,2024,13,4099,73,448053,0
INFLECTRA|BASAL CELL CARCINOMA,2025,0,2748,324,1556057,0
INFLECTRA|BLOOD ALBUMIN DECREASED,2024,5,4107,6,448120,0
INFLECTRA|BLOOD ALBUMIN DECREASED,2025,0,2748,113,1556268,0
INFLECTRA|BLOOD PRESSURE DIASTOLIC DECREASED,2024,11,4101,82,448044,1
INFLECTRA|BLOOD PRESSURE DIASTOLIC DECREASED,2025,29,2719,230,1556151,1
INFLECTRA|BLOOD PRESSURE DIASTOLIC INCREASED,2024,46,4066,88,448038,0
INFLECTRA|BLOOD PRESSURE DIASTOLIC INCREASED,2025,0,2748,264,1556117,0
INFLECTRA|BLOOD PRESSURE FLUCTUATION,2024,11,4101,125,448001,1
INFLECTRA|BLOOD PRESSURE FLUCTUATION,2025,29,2719,437,1555944,1
INFLECTRA|BLOOD PRESSURE INCREASED,2024,31,4081,395,447731,0
INFLECTRA|BLOOD PRESSURE INCREASED,2025,7,2741,2210,1554171,0
INFLECTRA|BLOOD PRESSURE SYSTOLIC INCREASED,2024,11,4101,147,447979,0
INFLECTRA|BLOOD PRESSURE SYSTOLIC INCREASED,2025,0,2748,557,1555824,0
INFLECTRA|BODY TEMPERATURE DECREASED,2024,11,4101,31,448095,0
INFLECTRA|BODY TEMPERATURE DECREASED,2025,0,2748,288,1556093,0
INFLECTRA|CARDIAC PACEMAKER INSERTION,2024,5,4107,13,448113,0
INFLECTRA|CARDIAC PACEMAKER INSERTION,2025,0,2748,39,1556342,0
INFLECTRA|CERVIX DISORDER,2024,17,4095,17,448109,0
INFLECTRA|CERVIX DISORDER,2025,0,2748,0,1556381,0
INFLECTRA|CHEST DISCOMFORT,2024,13,4099,332,447794,0
INFLECTRA|CHEST DISCOMFORT,2025,0,2748,1713,1554668,0
INFLECTRA|COLITIS,2024,9,4103,224,447902,0
INFLECTRA|COLITIS,2025,0,2748,759,1555622,0
INFLECTRA|COLON CANCER,2024,9,4103,12,448114,0
INFLECTRA|COLON CANCER,2025,0,2748,193,1556188,0
INFLECTRA|CONDITION AGGRAVATED,2024,272,3840,2392,445734,1
INFLECTRA|CONDITION AGGRAVATED,2025,198,2550,12658,1543723,1
INFLECTRA|CONSTIPATION,2024,53,4059,700,447426,1
INFLECTRA|CONSTIPATION,2025,39,2709,4901,1551480,1
INFLECTRA|COVID-19,2024,37,4075,1021,447105,0
INFLECTRA|COVID-19,2025,0,2748,1848,1554533,0
INFLECTRA|DECREASED APPETITE,2024,46,4066,2185,445941,0
INFLECTRA|DECREASED APPETITE,2025,0,2748,10294,1546087,0
INFLECTRA|DEFAECATION URGENCY,2024,44,4068,152,447974,0
INFLECTRA|DEFAECATION URGENCY,2025,0,2748,208,1556173,0
INFLECTRA|DEVICE LEAKAGE,2024,46,4066,63,448063,0
INFLECTRA|DEVICE LEAKAGE,2025,0,2748,145,1556236,0
INFLECTRA|DISEASE RECURRENCE,2024,25,4087,61,448065,0
INFLECTRA|DISEASE RECURRENCE,2025,0,2748,229,1556152,0
INFLECTRA|DIZZINESS,2024,43,4069,2314,445812,0
INFLECTRA|DIZZINESS,2025,0,2748,9343,1547038,0
INFLECTRA|DRUG LEVEL ABOVE THERAPEUTIC,2024,54,4058,62,448064,0
INFLECTRA|DRUG LEVEL ABOVE THERAPEUTIC,2025,0,2748,239,1556142,0
INFLECTRA|DRUG LEVEL BELOW THERAPEUTIC,2024,13,4099,16,448110,0
INFLECTRA|DRUG LEVEL BELOW THERAPEUTIC,2025,2,2746,127,1556254,0
INFLECTRA|DRUG LEVEL DECREASED,2024,52,4060,79,448047,1
INFLECTRA|DRUG LEVEL DECREASED,2025,18,2730,224,1556157,1
INFLECTRA|DRY SKIN,2024,21,4091,349,447777,0
INFLECTRA|DRY SKIN,2025,0,2748,1122,1555259,0
INFLECTRA|DUODENAL OBSTRUCTION,2024,5,4107,6,448120,0
INFLECTRA|DUODENAL OBSTRUCTION,2025,0,2748,0,1556381,0
INFLECTRA|DYSPHONIA,2024,10,4102,304,447822,0
INFLECTRA|DYSPHONIA,2025,0,2748,1364,1555017,0
INFLECTRA|EAR INFECTION BACTERIAL,2024,19,4093,24,448102,0
INFLECTRA|EAR INFECTION BACTERIAL,2025,0,2748,0,1556381,0
INFLECTRA|ECZEMA,2024,12,4100,513,447613,0
INFLECTRA|ECZEMA,2025,0,2748,1534,1554847,0
INFLECTRA|ERYTHEMA,2024,11,4101,497,447629,1
INFLECTRA|ERYTHEMA,2025,28,2720,1849,1554532,1
INFLECTRA|ERYTHEMA NODOSUM,2024,25,4087,59,448067,0
INFLECTRA|ERYTHEMA NODOSUM,2025,0,2748,55,1556326,0
INFLECTRA|FAECES HARD,2024,37,4075,141,447985,0
INFLECTRA|FAECES HARD,2025,0,2748,46,1556335,0
INFLECTRA|FATIGUE,2024,103,4009,4202,443924,0
INFLECTRA|FATIGUE,2025,41,2707,15590,1540791,0
INFLECTRA|FEELING HOT,2024,13,4099,359,447767,0
INFLECTRA|FEELING HOT,2025,0,2748,2699,1553682,0
INFLECTRA|FISTULA,2024,10,4102,32,448094,0
INFLECTRA|FISTULA,2025,1,2747,206,1556175,0
INFLECTRA|GASTRITIS,2024,5,4107,134,447992,1
INFLECTRA|GASTRITIS,2025,6,2742,258,1556123,1
INFLECTRA|GASTROENTERITIS VIRAL,2024,11,4101,146,447980,0
INFLECTRA|GASTROENTERITIS VIRAL,2025,0,2748,255,1556126,0
INFLECTRA|GASTROINTESTINAL ANASTOMOTIC STENOSIS,2024,13,4099,16,448110,0
INFLECTRA|GASTROINTESTINAL ANASTOMOTIC STENOSIS,2025,0,2748,0,1556381,0
INFLECTRA|HAEMATEMESIS,2024,5,4107,28,448098,0
INFLECTRA|HAEMATEMESIS,2025,0,2748,244,1556137,0
INFLECTRA|HAEMATOMA,2024,5,4107,24,448102,0
INFLECTRA|HAEMATOMA,2025,0,2748,177,1556204,0
INFLECTRA|HAEMOPTYSIS,2024,10,4102,131,447995,0
INFLECTRA|HAEMOPTYSIS,2025,0,2748,1059,1555322,0
INFLECTRA|HAEMORRHOIDS,2024,9,4103,42,448084,0
INFLECTRA|HAEMORRHOIDS,2025,0,2748,385,1555996,0
INFLECTRA|HIDRADENITIS,2024,46,4066,88,448038,0
INFLECTRA|HIDRADENITIS,2025,0,2748,126,1556255,0
INFLECTRA|HORMONE LEVEL ABNORMAL,2024,17,4095,17,448109,0
INFLECTRA|HORMONE LEVEL ABNORMAL,2025,0,2748,2,1556379,0
INFLECTRA|INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,2024,121,3991,1589,446537,1
INFLECTRA|INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,2025,66,2682,4408,1551973,1
INFLECTRA|INCORRECT PRODUCT ADMINISTRATION DURATION,2024,13,4099,14,448112,0
INFLECTRA|INCORRECT PRODUCT ADMINISTRATION DURATION,2025,0,2748,196,1556185,0
INFLECTRA|INFLUENZA,2024,13,4099,543,447583,1
INFLECTRA|INFLUENZA,2025,27,2721,1961,1554420,1
INFLECTRA|INTENTIONAL PRODUCT USE ISSUE,2024,243,3869,2848,445278,1
INFLECTRA|INTENTIONAL PRODUCT USE ISSUE,2025,148,2600,7924,1548457,1
INFLECTRA|INTERMENSTRUAL BLEEDING,2024,24,4088,44,448082,0
INFLECTRA|INTERMENSTRUAL BLEEDING,2025,0,2748,71,1556310,0
INFLECTRA|INTESTINAL RESECTION,2024,10,4102,14,448112,0
INFLECTRA|INTESTINAL RESECTION,2025,0,2748,32,1556349,0
INFLECTRA|JOINT EFFUSION,2024,11,4101,43,448083,0
INFLECTRA|JOINT EFFUSION,2025,0,2748,30,1556351,0
INFLECTRA|JOINT INJURY,2024,10,4102,166,447960,0
INFLECTRA|JOINT INJURY,2025,0,2748,678,1555703,0
INFLECTRA|LARGE INTESTINE POLYP,2024,9,4103,69,448057,0
INFLECTRA|LARGE INTESTINE POLYP,2025,0,2748,129,1556252,0
INFLECTRA|MACROCYTOSIS,2024,6,4106,10,448116,0
INFLECTRA|MACROCYTOSIS,2025,0,2748,27,1556354,0
INFLECTRA|MATERNAL EXPOSURE DURING PREGNANCY,2024,46,4066,1333,446793,0
INFLECTRA|MATERNAL EXPOSURE DURING PREGNANCY,2025,1,2747,7686,1548695,0
INFLECTRA|MUCOUS STOOLS,2024,46,4066,73,448053,0
INFLECTRA|MUCOUS STOOLS,2025,0,2748,35,1556346,0
INFLECTRA|MUSCLE SPASMS,2024,55,4057,1748,446378,0
INFLECTRA|MUSCLE SPASMS,2025,1,2747,4951,1551430,0
INFLECTRA|MYALGIA INTERCOSTAL,2024,17,4095,17,448109,0
INFLECTRA|MYALGIA INTERCOSTAL,2025,0,2748,0,1556381,0
INFLECTRA|MYOCARDIAL INFARCTION,2024,5,4107,142,447984,0
INFLECTRA|MYOCARDIAL INFARCTION,2025,0,2748,570,1555811,0
INFLECTRA|NASAL CONGESTION,2024,10,4102,157,447969,0
INFLECTRA|NASAL CONGESTION,2025,0,2748,1041,1555340,0
INFLECTRA|OFF LABEL USE,2024,272,3840,6295,441831,1
INFLECTRA|OFF LABEL USE,2025,264,2484,27680,1528701,1
INFLECTRA|ORAL HERPES,2024,17,4095,214,447912,0
INFLECTRA|ORAL HERPES,2025,0,2748,268,1556113,0
INFLECTRA|OROPHARYNGEAL PAIN,2024,10,4102,508,447618,0
INFLECTRA|OROPHARYNGEAL PAIN,2025,0,2748,1384,1554997,0
INFLECTRA|OSTEOPOROSIS,2024,17,4095,887,447239,0
INFLECTRA|OSTEOPOROSIS,2025,0,2748,2200,1554181,0
INFLECTRA|OVERDOSE,2024,275,3837,607,447519,1
INFLECTRA|OVERDOSE,2025,100,2648,3731,1552650,1
INFLECTRA|PHARYNGITIS STREPTOCOCCAL,2024,46,4066,82,448044,0
INFLECTRA|PHARYNGITIS STREPTOCOCCAL,2025,0,2748,41,1556340,0
INFLECTRA|PLATELET COUNT DECREASED,2024,13,4099,524,447602,0
INFLECTRA|PLATELET COUNT DECREASED,2025,0,2748,1221,1555160,0
INFLECTRA|POLYP,2024,6,4106,31,448095,1
INFLECTRA|POLYP,2025,12,2736,154,1556227,1
INFLECTRA|POOR VENOUS ACCESS,2024,5,4107,143,447983,1
INFLECTRA|POOR VENOUS ACCESS,2025,25,2723,298,1556083,1
INFLECTRA|POST PROCEDURAL HAEMORRHAGE,2024,25,4087,36,448090,0
INFLECTRA|POST PROCEDURAL HAEMORRHAGE,2025,0,2748,38,1556343,0
INFLECTRA|POUCHITIS,2024,25,4087,33,448093,0
INFLECTRA|POUCHITIS,2025,0,2748,10,1556371,0
INFLECTRA|PROCEDURAL PAIN,2024,10,4102,207,447919,0
INFLECTRA|PROCEDURAL PAIN,2025,0,2748,303,1556078,0
INFLECTRA|PROCTALGIA,2024,24,4088,71,448055,1
INFLECTRA|PROCTALGIA,2025,17,2731,150,1556231,1
INFLECTRA|PROSTATE CANCER,2024,8,4104,10,448116,0
INFLECTRA|PROSTATE CANCER,2025,0,2748,452,1555929,0
INFLECTRA|PRURITUS ALLERGIC,2024,19,4093,24,448102,0
INFLECTRA|PRURITUS ALLERGIC,2025,0,2748,57,1556324,0
INFLECTRA|RASH MACULAR,2024,11,4101,135,447991,0
INFLECTRA|RASH MACULAR,2025,0,2748,237,1556144,0
INFLECTRA|RASH MACULO-PAPULAR,2024,6,4106,31,448095,0
INFLECTRA|RASH MACULO-PAPULAR,2025,0,2748,340,1556041,0
INFLECTRA|RECTAL ABSCESS,2024,8,4104,10,448116,0
INFLECTRA|RECTAL ABSCESS,2025,0,2748,0,1556381,0
INFLECTRA|RESPIRATORY TRACT INFECTION,2024,24,4088,404,447722,0
INFLECTRA|RESPIRATORY TRACT INFECTION,2025,0,2748,1034,1555347,0
INFLECTRA|RHEUMATIC DISORDER,2024,46,4066,57,448069,0
